brand,item,vitola,price,inventory,icon
Camacho,Camacho Ecuador BXP Robusto,Robusto,$8.95,0,/img/placeholder.svg
Camacho,Camacho Ecuador BXP Toro,Toro,$9.25,0,/img/placeholder.svg
Camacho,Camacho Ecuador Gordo,Gordo,$10.55,0,/img/placeholder.svg
Camacho,Camacho Ecuador Robusto,Robusto,$9.25,46,/img/placeholder.svg
Camacho,Camacho Ecuador Toro,Toro,$9.45,38,/img/placeholder.svg
Camacho,Camacho Nicaragua Robusto,Robusto,$9.25,0,/img/placeholder.svg
Camacho,Camacho Nicaragua Toro,Toro,$9.45,0,/img/placeholder.svg
Camacho,Camacho Scorpion Fumas Connecticut Gordo,Gordo,$44.85,0,/img/placeholder.svg
Camacho,Camacho Triple Maduro Gordo,Gordo,$13.15,0,/img/placeholder.svg
Camacho,Camacho Triple Maduro Toro,Toro,$12.35,0,/img/placeholder.svg
CAO,CAO America Landmark,Gordo,$11.25,0,/img/placeholder.svg
CAO,CAO Brazilia Amazon,Gordo,$11.25,0,/img/placeholder.svg
CAO,CAO BX3 Toro,Toro,$10.75,0,/img/placeholder.svg
CAO,CAO Columbia Bogota,Gordo,$11.25,0,/img/placeholder.svg
CAO,CAO Fasa Noche Gigante,Gordo,$8.45,0,/img/placeholder.svg
CAO,CAO Fasa Sol Gigante,Gordo,$8.45,0,/img/placeholder.svg
CAO,CAO Fasa Sol Toro,Toro,$7.35,0,/img/placeholder.svg
CAO,CAO Fasa Sombra Gigante,Gordo,$8.45,0,/img/placeholder.svg
CAO,CAO Flathead V554 Camshaft,Robusto Extra,$11.55,0,/img/placeholder.svg
CAO,CAO Flathead V660 Carb,Gordo,$12.55,0,/img/placeholder.svg
CAO,CAO Flathead V770 Big Block,Gigante,$13.95,0,/img/placeholder.svg
CAO,CAO Flavours Corona - Cherrybomb,Corona,$9.25,0,/img/placeholder.svg
CAO,CAO Flavours Corona - Eileen's Dream,Corona,$9.25,0,/img/placeholder.svg
CAO,CAO Flavours Corona - Moontrance,Corona,$9.25,0,/img/placeholder.svg
CAO,CAO Italia Piazza,Gordo,$11.25,0,/img/placeholder.svg
CAO,CAO Pilon Anejo Gigante,Gordo,$10.55,0,/img/placeholder.svg
CAO,CAO Pilon Anejo Toro,Toro,$9.95,0,/img/placeholder.svg
CAO,CAO Pilon Gigante,Gordo,$11.25,0,/img/placeholder.svg
CAO,CAO Pilon Robusto,Robusto,$10.55,0,/img/placeholder.svg
CAO,CAO Pilon Toro,Toro,$10.95,0,/img/placeholder.svg
CAO,CAO Zocalo Gigante,Gordo,$11.25,0,/img/placeholder.svg
Casa Cuba,Divine Inspiration Natural,nan,$12.95,16,/img/placeholder.svg
Chillin Moose,Chillin Moose Gigante (Gray),Gordo,$5.95,0,/img/placeholder.svg
Chillin Moose,Chillin Moose Too Gigante (Red),Gordo,$5.95,0,/img/placeholder.svg
CLE,CLE 25th Anniversary 54x6,Toro,$19.45,0,/img/placeholder.svg
CLE,CLE 25th Anniversary 60x6,Gordo,$20.55,0,/img/placeholder.svg
CLE,CLE Azabache 54x6,Toro,$11.75,0,/img/placeholder.svg
CLE,CLE Chele 50x5,Robusto,$10.65,0,/img/placeholder.svg
CLE,CLE Chele 52x6,Toro,$11.75,0,/img/placeholder.svg
CLE,CLE Chele 60x6,Gordo,$12.75,0,/img/placeholder.svg
CLE,CLE Connecticut 54x6,Toro,$11.45,0,/img/placeholder.svg
CLE,CLE Connecticut 60x6,Gordo,$11.75,0,/img/placeholder.svg
CLE,CLE Corojo 50x5,Robusto,$10.65,0,/img/placeholder.svg
CLE,CLE Corojo 54x6,Toro,$11.45,0,/img/placeholder.svg
CLE,CLE Habano 50x5,Robusto,$10.65,0,/img/placeholder.svg
CLE,CLE Habano 54x6,Toro,$11.45,0,/img/placeholder.svg
CLE,CLE Prieto 46x6,Corona,$10.65,0,/img/placeholder.svg
CLE,CLE Prieto 50x5,Robusto,$10.65,0,/img/placeholder.svg
CLE,CLE Prieto 52x6,Toro,$11.75,0,/img/placeholder.svg
CLE,CLE Prieto 6x60,Gordo,$12.75,0,/img/placeholder.svg
CLE,CLE Signature 50x5,Robusto,$18.45,0,/img/placeholder.svg
CLE,CLE Signature 54x6,Toro,$19.45,0,/img/placeholder.svg
CLE,CLE Signature 60x6,Gordo,$20.55,0,/img/placeholder.svg
CLE,Eiroa 20-Year Colorado 50x5,Robusto,$15.95,1,/img/placeholder.svg
CLE,Eiroa 20-Year Colorado 54x6,Toro,$16.95,0,/img/placeholder.svg
CLE,Eiroa 20-Year Maduro 50x5,Robusto,$15.95,0,/img/placeholder.svg
CLE,Eiroa 20-Year Maduro 54x6,Toro,$16.95,0,/img/placeholder.svg
CLE,Eiroa 20-Year Maduro 60x6,Gordo,$18.05,0,/img/placeholder.svg
CLE,Eiroa CBT 54x6,Toro,$15.75,0,/img/placeholder.svg
CLE,Eiroa PCA 50x5,Robusto,$16.85,0,/img/placeholder.svg
Cohiba,Cohiba Black Churchill,Churchill,$29.95,4,/img/placeholder.svg
Cohiba,Cohiba Black Robusto Tubo,Robusto,$27.95,0,/img/placeholder.svg
Cohiba,Cohiba Blue Robusto,Robusto,$14.25,0,/img/placeholder.svg
Cohiba,Cohiba Blue Robusto Tubo,Robusto,$16.85,0,/img/placeholder.svg
Cohiba,Cohiba Blue Toro,Toro,$14.95,3,/img/placeholder.svg
Cohiba,Cohiba Connecticut Toro,Toro,$28.55,1,/img/placeholder.svg
Cohiba,Cohiba Connecticut Toro Tubo,Toro,$29.55,7,/img/placeholder.svg
Cohiba,Cohiba Connecticut Tubo Robusto,Robusto,$27.55,3,/img/placeholder.svg
Cohiba,Cohiba Macassar Double Corona,Corona,$39.55,0,/img/placeholder.svg
Cohiba,Cohiba Macassar Toro Grande,Toro,$33.95,14,/img/placeholder.svg
Cohiba,Cohiba Nicaragua N54 Robusto,Robusto,$22.95,14,/img/placeholder.svg
Cohiba,Cohiba Nicaragua Tubo Robusto,Robusto,$22.65,2,/img/placeholder.svg
Cohiba,Cohiba Red Dot Churchill,Churchill,$29.95,53,/img/placeholder.svg
Cohiba,Cohiba Red Dot Crytal Corona,Corona,$27.95,47,/img/placeholder.svg
Cohiba,Cohiba Red Dot Pequenos,,$29.95,0,/img/placeholder.svg
Cohiba,Cohiba Red Dot Robusto,Robusto,$26.95,13,/img/placeholder.svg
Cohiba,Cohiba Red Dot Toro Tubo,Toro,$28.55,1,/img/placeholder.svg
Cohiba,Cohiba Riviera Toro,Toro,$23.55,13,/img/placeholder.svg
Cohiba,Cohiba Royale Robusto,Robusto,$33.55,0,/img/placeholder.svg
Cohiba,Cohiba Royale Toro,Toro,$36.95,0,/img/placeholder.svg
Curivari,Curivari Buenaventura BV 500,nan,$7.35,0,/img/placeholder.svg
Curivari,Curivari Buenaventura BV 600,Gordo,$8.45,0,/img/placeholder.svg
Curivari,Curivari Buenaventura Cremas C200,Robusto,$7.35,0,/img/placeholder.svg
Curivari,Curivari Buenaventura Cremas C300,Toro,$7.35,0,/img/placeholder.svg
Curivari,Curivari Buenaventura Cremas C400,Gordo,$8.45,0,/img/placeholder.svg
Curivari,Curivari Buenaventura Dimensiones D5,Robusto,$6.05,0,/img/placeholder.svg
Curivari,Curivari Buenaventura Dimensiones D8,Churchill,$7.20,0,/img/placeholder.svg
Curivari,Curivari Anniversario 550 Robusto,Robusto,$10.05,3,/img/placeholder.svg
Davidoff,Davidoff Winston Churchill Belicoso,Belicoso,$39.25,0,/img/placeholder.svg
Davidoff,Davidoff Winston Churchill Panatela,Churchill,$44.00,0,/img/placeholder.svg
Drunk Chicken,DCG Sweet Dreams Robusto,Robusto,$12.00,31,/img/placeholder.svg
Emilio,Emilio Audiophile Short Robusto,Robusto,$10.75,0,/img/placeholder.svg
Emilio,Emilio Audiophile Toro,Toro,$11.55,0,/img/placeholder.svg
Emilio,Emilio Cavatina Toro,Toro,$9.95,0,/img/placeholder.svg
Emilio,Emilio Grimalkin Robusto,Robusto,$11.55,0,/img/placeholder.svg
Emilio,Emilio La Musa Robusto,Robusto,$11.05,0,/img/placeholder.svg
Emilio,Emilio LJZ Toro,Toro,$11.55,0,/img/placeholder.svg
Emilio,Emilio Papa Joe Robusto,Robusto,$9.45,0,/img/placeholder.svg
Emilio,Emilio Side 1 Robusto,Robusto,$9.95,0,/img/placeholder.svg
Emilio,Emilio Side 1 Toro,Toro,$10.55,0,/img/placeholder.svg
Emilio,Emilio Side 2 Robusto,Robusto,$9.45,0,/img/placeholder.svg
Emilio,Emilio Side 2 Toro,Toro,$9.95,0,/img/placeholder.svg
Emilio,Emilio Suave Maduro Robusto,Robusto,$10.55,0,/img/placeholder.svg
Espinosa,Espinosa Especial Lancero,Lancero,$10.75,0,/img/placeholder.svg
Espinosa,Espinosa Habano No.4 Robusto,Robusto,$9.25,0,/img/placeholder.svg
Espinosa,Espinosa Habano No.5 Toro,Toro,$9.45,0,/img/placeholder.svg
Espinosa,Espinosa Knuckle Sandwich CT Robusto,Robusto,$14.05,0,/img/placeholder.svg
Espinosa,Espinosa Knuckle Sandwich CT Short Churchill,Churchill,$14.65,0,/img/placeholder.svg
Espinosa,Espinosa Knuckle Sandwich CT Toro,Toro,$15.15,0,/img/placeholder.svg
Espinosa,Espinosa Knuckle Sandwich Habano Corona Gorda,Corona Gorda,$12.95,0,/img/placeholder.svg
Espinosa,Espinosa Knuckle Sandwich Habano Robusto,Robusto,$14.05,0,/img/placeholder.svg
Espinosa,Espinosa Knuckle Sandwich Habano Toro,Toro,$15.75,0,/img/placeholder.svg
Espinosa,Espinosa Knuckle Sandwich Maduro Robusto,Robusto,$14.55,0,/img/placeholder.svg
Espinosa,Espinosa Knuckle Sandwich Maduro Toro,Toro,$15.65,0,/img/placeholder.svg
Espinosa,Espinosa Laranja Reserva Azulejo Corona Gorda,Corona Gorda,$12.95,0,/img/placeholder.svg
Espinosa,Espinosa Laranja Reserva Azulejo Robusto Extra,Robusto,$13.75,0,/img/placeholder.svg
Espinosa,Espinosa Laranja Reserva Azulejo Toro,Toro,$14.25,0,/img/placeholder.svg
Espinosa,Espinosa Laranja Reserva Lancero,Lancero,$13.05,0,/img/placeholder.svg
Espinosa,Espinosa Laranja Reserva Robusto Extra,Robusto,$13.65,0,/img/placeholder.svg
Espinosa,Espinosa Laranja Reserva Toro,Toro,$14.15,0,/img/placeholder.svg
Espinosa,Espinosa Sumatra Robusto,Robusto,$11.55,0,/img/placeholder.svg
Espinosa,Espinosa Sumatra Toro,Toro,$12.05,0,/img/placeholder.svg
Flor de las Antillas,MF FDLA BP Robusto,nan,$nan,0,/img/placeholder.svg
Freud,Freud Sigmund Doble Corona 7.5x50,Double Corona,$44.15,2,/img/placeholder.svg
Gurkha,Gurkha 35th Anniversary Figurado,Figurado,$12.55,0,/img/placeholder.svg
Gurkha,Gurkha 35th Anniversary Toro,Toro,$12.55,0,/img/placeholder.svg
Gurkha,Gurkha CR 21 Year Hedonism Perfecto,Perfecto,$15.75,29,/img/placeholder.svg
Gurkha,Gurkha Coleccion Especial Robusto,Robusto,$13.65,0,/img/placeholder.svg
Gurkha,Gurkha Coleccion Especial Toro,Toro,$15.65,0,/img/placeholder.svg
Gurkha,Gurkha Ghost CT Shadow Robusto,Robusto,$8.45,0,/img/placeholder.svg
Gurkha,Gurkha Ghost Exorcist,Gordo,$11.05,0,/img/placeholder.svg
Gurkha,Gurkha Ghost Shadow Robusto,Robusto,$8.00,0,/img/placeholder.svg
Gurkha,Gurkha Nica Series Toro,Toro,$10.50,0,/img/placeholder.svg
Gurkha,Gurkha Revenant Corojo Robusto,Robusto,$8.15,0,/img/placeholder.svg
Gurkha,Gurkha Revenant Corojo Toro,Toro,$8.45,0,/img/placeholder.svg
Gurkha,Gurkha Revenant Maduro Robusto,Robusto,$8.15,0,/img/placeholder.svg
Gurkha,Gurkha Revenant Maduro Toro,Toro,$8.45,0,/img/placeholder.svg
Gurkha,Gurkha Treinta 30th Year Robusto,Robusto,$10.50,0,/img/placeholder.svg
Gurkha,Gurkha Treinta 30th Year Toro,Toro,$10.95,0,/img/placeholder.svg
H Upmann,H Upmann AJF Nicaragua Robusto,Robusto,$10.95,0,/img/placeholder.svg
H Upmann,H Upmann Nicaragua Heritage Robusto,Robusto,$10.95,0,/img/placeholder.svg
Henry Clay,Henry Clay War Hawk Robusto,Robusto,$9.15,0,/img/placeholder.svg
Henry Clay,Henry Clay War Hawk Toro,Toro,$9.95,0,/img/placeholder.svg
Hoyo de Monterrey,HDM Excalibur 660 Gordo,Gordo,$11.55,0,/img/placeholder.svg
Hoyo de Monterrey,HDM Excalibur Cameroon Lancelot Churchill,Churchill,$11.55,0,/img/placeholder.svg
Hoyo de Monterrey,HDM Excalibur Cigarillos,Cigarillo,$20.95,0,/img/placeholder.svg
Hoyo de Monterrey,HDM Excalibur Epicure Robusto,Robusto,$10.95,0,/img/placeholder.svg
Hoyo de Monterrey,HDM Excalibur Miniatures,Cigarillo,$16.95,0,/img/placeholder.svg
Hoyo de Monterrey,HDM Excalibur No. I Churchill,Churchill,$11.55,0,/img/placeholder.svg
Hoyo de Monterrey,HDM Excalibur No. III Toro,Toro,$10.95,0,/img/placeholder.svg
Hoyo de Monterrey,HDM Excalibur No. IV Corona Gorda,Corona Gorda,$10.95,0,/img/placeholder.svg
Hoyo de Monterrey,HDM La Amistad Black Gigante,Gordo,$11.95,0,/img/placeholder.svg
Hoyo de Monterrey,HDM La Amistad Black Rothschild,Rothschild,$9.95,0,/img/placeholder.svg
Hoyo de Monterrey,HDM La Amistad Black Toro,Toro,$10.95,0,/img/placeholder.svg
Hoyo de Monterrey,HDM La Amistad Dark Sumatra Espresso,nan,$9.95,0,/img/placeholder.svg
Hoyo de Monterrey,HDM La Amistad Dark Sumatra Media Noche,nan,$11.55,0,/img/placeholder.svg
Hoyo de Monterrey,HDM La Amistad Dark Sumatra Noche,Toro,$10.95,0,/img/placeholder.svg
JFR,JFR Connecticut Super Toro,Toro,$8.65,0,/img/placeholder.svg
JFR,JFR Corojo Super Toro,Toro,$7.95,0,/img/placeholder.svg
JFR,JFR Lunatic Maduro Short Titan Robusto,Robusto,$8.95,0,/img/placeholder.svg
Joya de Nicaragua,JDN Antano CT Robusto,Robusto,$11.75,0,/img/placeholder.svg
Joya de Nicaragua,JDN Antano CT Toro,Toro,$12.75,0,/img/placeholder.svg
Joya de Nicaragua,JDN Antano Tins,Cigarillo,$22.00,0,/img/placeholder.svg
Joya de Nicaragua,JDN Antono Gran Reserva GT20,Toro,$6.55,0,/img/placeholder.svg
Joya de Nicaragua,JDN Black Doble Robusto,Robusto,$9.35,0,/img/placeholder.svg
Joya de Nicaragua,JDN Black Tin,Cigarillo,$11.00,2,/img/placeholder.svg
Joya de Nicaragua,JDN Cabinetta Toro,Toro,$9.65,0,/img/placeholder.svg
Joya de Nicaragua,JDN Cuatro Cinco Toro,Toro,$15.95,0,/img/placeholder.svg
Joya de Nicaragua,JDN Dark Corojo El Martillo,Robusto Extra,$11.75,0,/img/placeholder.svg
Joya de Nicaragua,JDN Red Robusto,Robusto,$9.05,0,/img/placeholder.svg
Joya de Nicaragua,JDN Red Toro,Toro,$9.65,0,/img/placeholder.svg
Kentucky Fire Cured,KFC Fat Molly,Robusto Extra,$7.95,0,/img/placeholder.svg
Kentucky Fire Cured,KFC Just A Friend,Toro,$9.35,0,/img/placeholder.svg
Kentucky Fire Cured,KFC Swamp Thang  Sweet Tin,Small Panatela,$13.00,0,/img/placeholder.svg
Kentucky Fire Cured,KFC Swamp Thang Tin,Small Panatela,$13.00,0,/img/placeholder.svg
Kentucky Fire Cured,KFC Sweets Fat Molly,Robusto Extra,$7.95,0,/img/placeholder.svg
Kentucky Fire Cured,KFC Sweets Just A Friend,Toro,$9.35,0,/img/placeholder.svg
Kristoff,Kristoff 685 Woodland Perfecto,Perfecto,$nan,20,/img/placeholder.svg
Kristoff,Kristoff Cameroon Robusto,Robusto,$9.95,0,/img/placeholder.svg
Kristoff,Kristoff Corojo Robusto,Robusto,$9.95,0,/img/placeholder.svg
Kristoff,Kristoff CT 6x60 Gordo,Gordo,$11.35,0,/img/placeholder.svg
Kristoff,Kristoff CT Robusto,Robusto,$9.95,0,/img/placeholder.svg
Kristoff,Kristoff GC 6x60 Gordo,Gordo,$11.35,61,/img/placeholder.svg
Kristoff,Kristoff GC Robusto,Robusto,$9.95,31,/img/placeholder.svg
Kristoff,Kristoff Guardrail Robusto,Robusto,$10.75,0,/img/placeholder.svg
Kristoff,Kristoff Ligero Maduro Matador,Gordo,$11.30,0,/img/placeholder.svg
Kristoff,Kristoff Ligero Maduro Robusto,Robusto,$9.65,0,/img/placeholder.svg
Kristoff,Kristoff Nicaragua Toro,Toro,$11.05,8,/img/placeholder.svg
Kristoff,Kristoff Original Criollo Robusto,Robusto,$9.05,27,/img/placeholder.svg
Kristoff,Kristoff Pistoff Robusto,Robusto,$10.05,0,/img/placeholder.svg
Kristoff,Kristoff San Andres 6x60 Gordo,Gordo,$10.25,0,/img/placeholder.svg
Kristoff,Kristoff San Andres Robusto,Robusto,$9.30,0,/img/placeholder.svg
Kristoff,Kristoff Shade Grown Matador,Gordo,$11.35,0,/img/placeholder.svg
Kristoff,Kristoff Shade Grown Robusto,Robusto,$9.95,0,/img/placeholder.svg
Kristoff,Kristoff Sumatra Matador,Gordo,$11.35,13,/img/placeholder.svg
